epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22551,2.35845,4.63066,2.25703,0.00358,1,0.26602,0.18447,0.95007,3.14957,1.01157,0.00027151,0.00027151,0.00027151
2,14.5356,1.32431,3.03488,1.28945,0.00337,1,0.35006,0.22879,1.25059,3.01194,1.10538,0.000551793,0.000551793,0.000551793
3,20.0633,1.23065,2.66271,1.25287,0.00344,1,0.34881,0.23228,1.30845,3.12383,1.1889,0.000826416,0.000826416,0.000826416
4,26.6191,1.16923,2.49218,1.23841,0.00423,1,0.27413,0.17907,1.20132,3.05712,1.26971,0.00109538,0.00109538,0.00109538
5,31.9119,1.09815,2.2888,1.1951,0.4839,0.3449,0.39771,0.29648,0.96999,2.4707,1.04565,0.00135869,0.00135869,0.00135869
6,38.7659,1.13836,2.1783,1.19921,0.26454,0.52143,0.41028,0.27459,1.0709,2.21127,1.14354,0.00135826,0.00135826,0.00135826
7,44.0085,1.08929,2.08096,1.203,0.36218,0.60119,0.43747,0.32109,0.95223,2.09933,1.0669,0.00134412,0.00134412,0.00134412
8,49.5284,1.00831,1.95236,1.14703,0.27934,0.56471,0.41023,0.30286,0.93707,2.07713,1.06606,0.00132997,0.00132997,0.00132997
9,55.4553,1.00908,1.83956,1.1492,0.40211,0.79077,0.53231,0.41585,0.84777,1.86816,1.01626,0.00131582,0.00131582,0.00131582
10,60.611,1.00595,1.80108,1.13184,0.352,0.79643,0.43899,0.35358,0.82614,1.57198,0.99688,0.00130168,0.00130168,0.00130168
11,66.9714,0.94691,1.65285,1.10275,0.55285,0.57143,0.39733,0.22885,1.47308,2.57027,1.66455,0.00128753,0.00128753,0.00128753
12,72.1679,1.03324,1.69215,1.15179,0.24796,0.77976,0.4251,0.33072,0.86394,2.80002,1.01894,0.00127338,0.00127338,0.00127338
13,78.5371,1.01383,1.67815,1.14863,0.3415,0.91071,0.48505,0.39988,0.75953,1.41522,0.98955,0.00125923,0.00125923,0.00125923
14,83.7184,0.96875,1.61941,1.12327,0.34462,0.8631,0.47171,0.38172,0.75612,1.43918,0.96891,0.00124509,0.00124509,0.00124509
15,89.3985,0.95765,1.5512,1.12305,0.34512,0.8631,0.40188,0.3311,0.77891,1.70666,0.99977,0.00123094,0.00123094,0.00123094
16,94.9986,0.95127,1.52614,1.12878,0.33485,0.8631,0.43522,0.32113,0.85061,1.49604,1.04359,0.00121679,0.00121679,0.00121679
17,100.188,0.91461,1.4262,1.09977,0.32467,0.82143,0.45327,0.35538,0.82349,1.47877,0.97194,0.00120265,0.00120265,0.00120265
