epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01068,3.02511,3.88669,3.10088,0.00347,0.33333,0.33167,0.16583,2.96598,3.72597,3.25649,1.429e-05,1.429e-05,1.429e-05
2,13.0687,2.99253,3.85452,2.83378,0.00379,0.33333,0.33167,0.16583,2.69863,3.74307,2.89074,4.24456e-05,4.24456e-05,4.24456e-05
3,18.9647,2.6517,3.84739,2.4493,0.00381,0.33333,0.33167,0.16583,2.33852,3.74209,2.38126,7.00353e-05,7.00353e-05,7.00353e-05
4,24.7052,2.00649,3.72424,1.88849,0.00379,0.33333,0.33167,0.20503,1.41288,3.77633,1.5312,9.70591e-05,9.70591e-05,9.70591e-05
5,31.1139,1.4125,3.39505,1.44182,0.01046,1,0.38184,0.35061,0.85409,3.4761,1.19361,0.000123517,0.000123517,0.000123517
6,37.4246,1.31715,3.1135,1.29867,0.01062,1,0.5591,0.48473,0.68833,3.28376,1.07271,0.000149409,0.000149409,0.000149409
7,44.3342,1.17598,2.63725,1.17224,0.01105,1,0.57489,0.46164,0.74249,3.12016,1.02691,0.000174735,0.000174735,0.000174735
8,50.6388,1.04796,2.24148,1.12095,0.01166,1,0.60806,0.45881,0.80836,3.09576,1.05327,0.000199496,0.000199496,0.000199496
9,56.077,0.942,1.71189,1.07603,0.01134,1,0.60806,0.53897,0.68086,3.01799,1.01262,0.00022369,0.00022369,0.00022369
10,62.0666,1.00135,1.75486,1.11145,0.01118,1,0.60806,0.51688,0.59811,2.93407,0.97185,0.000247318,0.000247318,0.000247318
11,68.0854,0.97051,1.64541,1.09481,0.01068,1,0.60806,0.52519,0.56551,2.85707,0.95102,0.000270381,0.000270381,0.000270381
12,74.7454,0.83059,1.41088,1.02046,0.01051,1,0.77389,0.69644,0.55336,2.77981,0.94416,0.000292878,0.000292878,0.000292878
13,80.709,0.88212,1.43729,1.01999,0.01046,1,0.77389,0.66883,0.67128,2.7488,0.97963,0.000314809,0.000314809,0.000314809
14,86.1551,0.79872,1.2423,0.96491,0.01062,1,0.60806,0.49079,0.66665,2.77425,1.01481,0.000336174,0.000336174,0.000336174
15,92.1275,0.73161,1.24106,0.94494,0.01121,1,0.58042,0.46656,0.64273,2.74063,1.00353,0.000356973,0.000356973,0.000356973
16,101.44,0.72872,1.21423,0.97099,0.67479,0.48811,0.58042,0.49448,0.61182,2.68329,0.98272,0.000377206,0.000377206,0.000377206
17,110.447,0.80526,1.23267,1.03335,0.63184,0.40759,0.60806,0.534,0.53087,2.6219,0.96175,0.000396873,0.000396873,0.000396873
18,120.293,0.76563,1.07461,0.98167,0.74155,0.66667,0.58042,0.51829,0.44593,2.62603,0.9516,0.000415975,0.000415975,0.000415975
19,129.14,0.79088,1.10467,1.00298,0.68895,0.49099,0.60806,0.5091,0.43902,2.62297,0.94958,0.00043451,0.00043451,0.00043451
20,137.419,0.72209,0.99056,0.939,0.93852,0.33333,0.51701,0.4524,0.55457,2.67846,0.98615,0.00045248,0.00045248,0.00045248
21,143.411,0.76849,1.03292,0.96931,0.94925,0.33333,0.67096,0.55065,0.58623,2.63609,1.00864,0.000469884,0.000469884,0.000469884
22,150.358,0.7359,0.94554,0.94963,0.93738,0.33333,0.67531,0.58959,0.54576,2.59172,0.99531,0.000486722,0.000486722,0.000486722
23,156.021,0.70345,0.97756,0.91985,0.93209,0.33333,0.88444,0.76285,0.48796,2.51298,0.98069,0.000502994,0.000502994,0.000502994
24,161.555,0.71625,0.88122,0.93178,0.93714,0.33333,0.82917,0.74213,0.50285,2.52793,0.96575,0.0005187,0.0005187,0.0005187
25,167.224,0.66874,0.87982,0.89782,0.93423,0.33333,0.82917,0.74214,0.54575,2.58546,0.99107,0.00053384,0.00053384,0.00053384
26,173.287,0.65334,0.84439,0.9226,0.62853,0.36499,0.82917,0.73375,0.55779,2.59703,1.00693,0.000548414,0.000548414,0.000548414
27,178.766,0.64367,0.86877,0.92504,0.67074,0.4176,0.82917,0.71721,0.55606,2.48538,1.00674,0.000562423,0.000562423,0.000562423
28,185.054,0.66109,0.97925,0.93526,0.67074,0.4176,0.82917,0.71721,0.55606,2.48538,1.00674,0.000575866,0.000575866,0.000575866
29,193.326,0.71529,0.92983,0.95149,0.7693,0.66667,0.82917,0.74615,0.59157,2.4196,1.01524,0.000588742,0.000588742,0.000588742
30,202.753,0.75251,1.02451,0.96105,0.81218,0.66667,0.995,0.87053,0.6552,2.38882,1.02068,0.000601053,0.000601053,0.000601053
31,212.383,0.66668,1.07192,0.97138,0.81218,0.66667,0.995,0.87053,0.6552,2.38882,1.02068,0.000612798,0.000612798,0.000612798
32,222.947,0.68146,0.92579,0.90282,0.77997,0.66667,0.995,0.854,0.57075,2.38422,1.00858,0.000623977,0.000623977,0.000623977
33,232.792,0.68029,0.91942,0.92879,0.75936,0.66667,0.82917,0.77103,0.51037,2.25307,0.998,0.00063459,0.00063459,0.00063459
