epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0384,2.96213,4.88389,3.05593,0.00187,0.33333,0.01106,0.00478,3.03899,3.82641,3.55034,1.429e-05,1.429e-05,1.429e-05
2,43.4112,2.8856,4.25904,2.90893,0.01394,0.5,0.15874,0.05982,2.823,3.13289,3.17303,4.24456e-05,4.24456e-05,4.24456e-05
3,59.3246,2.55197,2.99169,2.55415,0.95374,0.65541,0.74056,0.22233,2.47106,2.38898,2.96131,7.00353e-05,7.00353e-05,7.00353e-05
4,75.0156,2.21307,2.45957,2.17499,0.66811,0.95207,0.995,0.44788,2.13069,2.84579,2.43638,9.70591e-05,9.70591e-05,9.70591e-05
5,91.5215,1.49969,1.73474,1.66688,0.92751,0.66667,0.82917,0.50332,1.31328,2.59811,1.72398,0.000123517,0.000123517,0.000123517
6,106.988,1.20727,1.73223,1.37999,0.7203,1,0.995,0.71326,1.09194,2.83266,1.53982,0.000149409,0.000149409,0.000149409
7,122.878,1.07343,1.37777,1.38367,0.79248,1,0.995,0.73798,1.09701,2.65894,1.64164,0.000174735,0.000174735,0.000174735
8,138.961,0.99718,1.20998,1.29275,0.97368,1,0.995,0.81256,0.74394,1.28496,1.43125,0.000199496,0.000199496,0.000199496
9,154.521,0.87315,1.01797,1.17702,0.97228,1,0.995,0.82087,0.6748,1.00768,1.31019,0.00022369,0.00022369,0.00022369
10,170.02,0.83006,1.12924,1.25078,0.87951,1,0.995,0.83745,0.6487,1.01891,1.25578,0.000247318,0.000247318,0.000247318
11,185.63,0.87933,1.0927,1.18939,0.76566,1,0.82917,0.72965,0.61031,1.4704,1.22098,0.000270381,0.000270381,0.000270381
12,201.176,0.71517,0.96097,1.11098,0.74811,1,0.82917,0.74625,0.50345,1.28281,1.09364,0.000292878,0.000292878,0.000292878
13,217.988,0.83485,1.03205,1.12102,0.67431,1,0.82917,0.75174,0.55228,1.02628,1.07749,0.000314809,0.000314809,0.000314809
14,233.769,0.71165,0.80506,1.04442,0.86341,0.83333,0.93944,0.83443,0.59148,0.8436,1.07737,0.000336174,0.000336174,0.000336174
15,249.825,0.75363,0.93183,1.04712,0.97362,1,0.995,0.91203,0.5711,0.68166,1.02513,0.000356973,0.000356973,0.000356973
16,266.19,0.72755,0.89998,1.05175,0.95966,1,0.995,0.78771,0.7756,0.81555,1.08767,0.000377206,0.000377206,0.000377206
17,282.444,0.79989,0.92343,1.10419,0.93728,1,0.995,0.81262,0.75758,0.77845,1.03565,0.000396873,0.000396873,0.000396873
18,297.746,0.7693,0.86946,1.09725,0.87965,1,0.995,0.8126,0.66004,0.8865,0.98004,0.000415975,0.000415975,0.000415975
19,313.036,0.75375,0.85311,1.03841,0.90803,1,0.995,0.86233,0.59083,1.0428,0.9528,0.00043451,0.00043451,0.00043451
20,329.732,0.6496,0.71342,1.00798,0.96724,1,0.995,0.87888,0.64781,0.76347,0.99243,0.00045248,0.00045248,0.00045248
21,347.331,0.69785,0.76364,1.05786,0.94646,1,0.995,0.87888,0.64571,0.82535,1.01407,0.000469884,0.000469884,0.000469884
22,361.704,0.71658,0.80757,1.01853,0.78748,1,0.995,0.87063,0.58284,0.98785,0.95673,0.000486722,0.000486722,0.000486722
23,375.448,0.65099,0.81042,1.00592,0.88599,1,0.995,0.86233,0.63333,0.93731,1.00196,0.000502994,0.000502994,0.000502994
24,390.48,0.68428,0.62389,1.02086,0.95812,1,0.995,0.86233,0.60513,0.86389,1.03149,0.0005187,0.0005187,0.0005187
25,404.979,0.63889,0.70171,0.97571,0.86761,1,0.995,0.86233,0.62511,0.99826,1.09023,0.00053384,0.00053384,0.00053384
26,420.576,0.64136,0.7165,0.99066,0.59831,1,0.82917,0.72696,0.63817,1.27461,1.07789,0.000548414,0.000548414,0.000548414
27,435.408,0.62334,0.77708,0.97065,0.80725,1,0.88444,0.78767,0.61715,1.12888,1.03277,0.000562423,0.000562423,0.000562423
28,451.279,0.65337,0.77617,0.96439,0.80725,1,0.88444,0.78767,0.61715,1.12888,1.03277,0.000575866,0.000575866,0.000575866
29,472.84,0.70669,0.71548,1.00718,0.87897,1,0.995,0.88712,0.56454,1.12429,1.0203,0.000588742,0.000588742,0.000588742
30,496.473,0.7347,0.76445,1.05653,0.85169,1,0.995,0.84579,0.61775,1.15922,1.04598,0.000601053,0.000601053,0.000601053
31,520.462,0.62144,0.76552,1.01657,0.85169,1,0.995,0.84579,0.61775,1.15922,1.04598,0.000612798,0.000612798,0.000612798
32,545.837,0.65219,0.70067,0.97051,0.814,1,0.995,0.87061,0.66899,1.35032,1.06325,0.000623977,0.000623977,0.000623977
33,567.565,0.64165,0.67283,1.00455,0.80335,1,0.995,0.85399,0.64666,1.12931,1.08413,0.00063459,0.00063459,0.00063459
34,588.393,0.6054,0.61962,0.96861,0.80335,1,0.995,0.85399,0.64666,1.12931,1.08413,0.000644638,0.000644638,0.000644638
35,612.717,0.67761,0.68278,0.99486,0.8937,1,0.995,0.8541,0.66225,1.07386,1.10925,0.000654119,0.000654119,0.000654119
36,627.761,0.60701,0.597,0.96967,0.91276,1,0.995,0.83757,0.636,1.01173,1.06559,0.000663035,0.000663035,0.000663035
37,641.588,0.62992,0.71108,0.98907,0.91276,1,0.995,0.83757,0.636,1.01173,1.06559,0.000671384,0.000671384,0.000671384
38,655.24,0.58138,0.512,0.92493,0.91196,1,0.995,0.83745,0.68465,0.90659,1.09366,0.000679168,0.000679168,0.000679168
39,668.914,0.67849,0.61146,0.99529,0.93432,1,0.995,0.83745,0.6534,0.63838,1.04919,0.000686386,0.000686386,0.000686386
40,682.422,0.62563,0.64072,0.96849,0.93432,1,0.995,0.83745,0.6534,0.63838,1.04919,0.000693038,0.000693038,0.000693038
41,698.466,0.62656,0.64292,1.04613,0.94058,1,0.995,0.91209,0.54914,0.56602,1.01995,0.000699124,0.000699124,0.000699124
42,718.348,0.63868,0.57658,1.00527,0.95286,1,0.995,0.92043,0.50919,0.60683,0.98007,0.000704644,0.000704644,0.000704644
43,739.494,0.65331,0.58443,0.99427,0.95286,1,0.995,0.92043,0.50919,0.60683,0.98007,0.000709599,0.000709599,0.000709599
44,759.422,0.66767,0.67282,1.04046,0.92614,1,0.995,0.87902,0.59824,0.75311,1.0044,0.000713987,0.000713987,0.000713987
45,780.511,0.62386,0.55716,1.03418,0.92614,1,0.995,0.87902,0.59824,0.75311,1.0044,0.00071781,0.00071781,0.00071781
46,798.577,0.65832,0.68775,1.04246,0.79443,1,0.995,0.87903,0.55288,1.17372,1.00703,0.000721066,0.000721066,0.000721066
47,812.301,0.59519,0.51494,0.96454,0.79443,1,0.995,0.87903,0.55288,1.17372,1.00703,0.000723757,0.000723757,0.000723757
48,826.342,0.56363,0.60183,0.93667,0.79696,1,0.995,0.90393,0.52064,1.27729,0.99573,0.000725882,0.000725882,0.000725882
49,839.617,0.62106,0.58987,1.00229,0.79696,1,0.995,0.90393,0.52064,1.27729,0.99573,0.000727441,0.000727441,0.000727441
50,853.421,0.53649,0.50844,0.96157,0.86074,1,0.995,0.86226,0.52712,0.76704,0.97967,0.000728434,0.000728434,0.000728434
51,867.61,0.57207,0.53136,0.9704,0.86074,1,0.995,0.86226,0.52712,0.76704,0.97967,0.000721645,0.000721645,0.000721645
52,880.831,0.61425,0.62711,0.96434,0.93499,1,0.995,0.85417,0.54942,0.70484,1.00022,0.000707498,0.000707498,0.000707498
53,894.487,0.59708,0.48258,0.96171,0.93499,1,0.995,0.85417,0.54942,0.70484,1.00022,0.000693351,0.000693351,0.000693351
54,911.39,0.61422,0.65619,0.94562,0.81612,1,0.995,0.8542,0.56203,0.90429,0.98011,0.000679204,0.000679204,0.000679204
55,934.99,0.61886,0.56945,0.94539,0.81612,1,0.995,0.8542,0.56203,0.90429,0.98011,0.000665057,0.000665057,0.000665057
56,955.345,0.62455,0.67454,1.0052,0.74941,1,0.995,0.8543,0.5282,1.28093,0.96853,0.000650909,0.000650909,0.000650909
57,975.71,0.59539,0.55181,0.98751,0.74941,1,0.995,0.8543,0.5282,1.28093,0.96853,0.000636762,0.000636762,0.000636762
58,996.553,0.63704,0.59765,1.01143,0.85751,1,0.995,0.83769,0.59377,0.63448,0.98114,0.000622615,0.000622615,0.000622615
59,1017.14,0.55791,0.53738,0.95241,0.85751,1,0.995,0.83769,0.59377,0.63448,0.98114,0.000608468,0.000608468,0.000608468
60,1036.09,0.55365,0.48906,0.93619,0.97002,1,0.995,0.87092,0.59925,0.48847,0.98782,0.000594321,0.000594321,0.000594321
61,1049.27,0.53394,0.52498,0.95989,0.97002,1,0.995,0.87092,0.59925,0.48847,0.98782,0.000580174,0.000580174,0.000580174
62,1063.14,0.6176,0.65756,1.01199,0.9743,1,0.995,0.86279,0.58714,0.4345,1.00138,0.000566027,0.000566027,0.000566027
63,1084.03,0.57147,0.56382,0.95929,0.9743,1,0.995,0.86279,0.58714,0.4345,1.00138,0.00055188,0.00055188,0.00055188
64,1098.69,0.5596,0.50997,0.96173,0.96006,1,0.995,0.89594,0.51052,0.55903,1.01196,0.000537733,0.000537733,0.000537733
65,1113.43,0.59268,0.56138,0.99165,0.96006,1,0.995,0.89594,0.51052,0.55903,1.01196,0.000523586,0.000523586,0.000523586
66,1133.47,0.53157,0.53786,0.9622,0.95152,1,0.995,0.89609,0.56338,0.63558,1.04858,0.000509438,0.000509438,0.000509438
67,1158.4,0.56591,0.56318,0.97056,0.95152,1,0.995,0.89609,0.56338,0.63558,1.04858,0.000495291,0.000495291,0.000495291
68,1184.35,0.53571,0.52047,0.93042,0.96006,1,0.995,0.90392,0.5782,0.59551,1.04854,0.000481144,0.000481144,0.000481144
69,1199.92,0.52254,0.62338,0.95052,0.96006,1,0.995,0.90392,0.5782,0.59551,1.04854,0.000466997,0.000466997,0.000466997
70,1215.22,0.54145,0.58323,1.0015,0.96562,1,0.995,0.92118,0.54395,0.46166,0.99825,0.00045285,0.00045285,0.00045285
71,1238.37,0.54262,0.46377,0.92876,0.96562,1,0.995,0.92118,0.54395,0.46166,0.99825,0.000438703,0.000438703,0.000438703
72,1261.41,0.52981,0.53938,0.94308,0.97338,1,0.995,0.90489,0.51201,0.3889,0.97735,0.000424556,0.000424556,0.000424556
73,1283.71,0.51086,0.51907,0.94111,0.97338,1,0.995,0.90489,0.51201,0.3889,0.97735,0.000410409,0.000410409,0.000410409
74,1305.73,0.55302,0.50252,0.92393,0.9775,1,0.995,0.90471,0.53219,0.35902,0.97664,0.000396262,0.000396262,0.000396262
75,1328.75,0.48091,0.48402,0.93357,0.9775,1,0.995,0.90471,0.53219,0.35902,0.97664,0.000382115,0.000382115,0.000382115
